"Area","MTU","Biomass - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"CTA|ES","01.01.2025 06:30 - 01.01.2025 06:45 (CET/CEST)","372","0","0","6212","248","12","0","0","0","28","1596","820","832","0","7116","8","64","4","156","0","3916"
"CTA|ES","01.01.2025 06:45 - 01.01.2025 07:00 (CET/CEST)","376","0","0","6216","248","12","0","0","0","28","1596","820","816","0","7116","8","64","4","156","0","3900"
"CTA|ES","01.01.2025 07:00 - 01.01.2025 07:15 (CET/CEST)","376","0","0","6316","248","12","0","0","0","28","1520","820","820","0","7116","8","64","4","156","0","3864"
"CTA|ES","01.01.2025 07:15 - 01.01.2025 07:30 (CET/CEST)","368","0","0","6576","248","8","0","0","0","24","1720","820","888","0","7116","8","64","4","160","0","3828"
"CTA|ES","01.01.2025 07:30 - 01.01.2025 07:45 (CET/CEST)","368","0","0","6476","248","8","0","0","0","24","1772","816","856","0","7116","8","64","4","164","0","3864"
"CTA|ES","01.01.2025 07:45 - 01.01.2025 08:00 (CET/CEST)","372","0","0","6460","248","8","0","0","0","28","1772","812","864","0","7116","8","64","4","164","0","3920"
"CTA|ES","01.01.2025 08:00 - 01.01.2025 08:15 (CET/CEST)","372","0","0","6504","248","8","0","0","0","40","1768","808","872","0","7116","8","64","4","164","0","3932"
"CTA|ES","01.01.2025 08:15 - 01.01.2025 08:30 (CET/CEST)","368","0","0","6432","248","8","0","0","0","48","1596","808","796","0","7116","8","64","8","168","0","3988"
"CTA|ES","01.01.2025 08:30 - 01.01.2025 08:45 (CET/CEST)","372","0","0","6392","248","8","0","0","0","48","1592","812","760","0","7120","8","64","20","168","0","4044"
"CTA|ES","01.01.2025 08:45 - 01.01.2025 09:00 (CET/CEST)","368","0","0","6184","248","8","0","0","0","52","1700","816","856","0","7120","8","64","136","168","0","4064"
"CTA|ES","01.01.2025 09:00 - 01.01.2025 09:15 (CET/CEST)","368","0","0","6168","248","8","0","0","0","60","1932","824","1056","0","7120","8","64","392","172","0","4012"
