Area,MTU,Biomass - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Hard coal - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
BZN|ES,28.04.2025 06:45 - 28.04.2025 07:00 (CET/CEST),444,0,0,5016,184,8,0,0,0,1632,556,1528,4960,0,3388,12,64,408,164,0,5460
BZN|ES,28.04.2025 07:00 - 28.04.2025 07:15 (CET/CEST),448,0,0,5080,184,8,0,0,0,1776,172,1508,5048,0,3388,8,64,356,164,0,5512
BZN|ES,28.04.2025 07:15 - 28.04.2025 07:30 (CET/CEST),440,0,0,5212,184,8,0,0,0,2328,144,1556,5376,0,3388,8,64,376,160,0,5576
BZN|ES,28.04.2025 07:30 - 28.04.2025 07:45 (CET/CEST),444,0,0,5300,184,8,0,0,0,2556,140,1568,5388,0,3384,8,60,488,164,0,5596
BZN|ES,28.04.2025 07:45 - 28.04.2025 08:00 (CET/CEST),444,0,0,5184,184,8,0,0,0,2640,140,1584,5468,0,3384,8,64,904,164,0,5584
BZN|ES,28.04.2025 08:00 - 28.04.2025 08:15 (CET/CEST),440,0,0,5128,184,8,0,0,0,2456,140,1580,5144,0,3384,12,64,1916,160,0,5428
BZN|ES,28.04.2025 08:15 - 28.04.2025 08:30 (CET/CEST),456,0,0,4932,184,12,0,0,0,1736,140,1552,4700,0,3384,12,64,3736,160,0,5220
BZN|ES,28.04.2025 08:30 - 28.04.2025 08:45 (CET/CEST),444,0,0,4756,184,12,0,0,0,1444,168,1504,4272,0,3384,8,60,6020,160,0,4740
BZN|ES,28.04.2025 08:45 - 28.04.2025 09:00 (CET/CEST),412,0,0,4476,184,12,0,0,0,1180,316,1476,3916,0,3384,12,60,7864,160,0,3844
BZN|ES,28.04.2025 09:00 - 28.04.2025 09:15 (CET/CEST),380,0,0,3944,192,12,0,0,0,1028,508,1484,3328,0,3384,12,60,10276,160,0,3684
BZN|ES,28.04.2025 09:15 - 28.04.2025 09:30 (CET/CEST),424,0,0,3108,212,12,0,0,0,1112,688,1420,2776,0,3384,12,56,13460,164,0,3692
BZN|ES,28.04.2025 09:30 - 28.04.2025 09:45 (CET/CEST),432,0,0,2520,228,12,0,0,0,836,892,1380,2536,0,3384,12,56,15696,156,0,3392
BZN|ES,28.04.2025 09:45 - 28.04.2025 10:00 (CET/CEST),420,0,0,2332,232,12,0,0,0,256,1036,1376,2724,0,3384,12,56,17108,164,0,3064
BZN|ES,28.04.2025 10:00 - 28.04.2025 10:15 (CET/CEST),424,0,0,2308,232,12,0,0,0,120,1488,1352,2720,0,3384,12,56,18032,164,0,2824
BZN|ES,28.04.2025 10:15 - 28.04.2025 10:30 (CET/CEST),432,0,0,2272,232,16,0,0,0,24,2140,1292,2540,0,3384,12,60,18452,168,0,2780
BZN|ES,28.04.2025 10:30 - 28.04.2025 10:45 (CET/CEST),420,0,0,2252,232,16,0,0,0,12,2696,1268,2508,0,3384,8,60,19136,164,0,2764
BZN|ES,28.04.2025 10:45 - 28.04.2025 11:00 (CET/CEST),400,0,0,2220,232,16,0,0,0,12,2840,1248,2512,0,3384,8,56,19580,164,0,2832
BZN|ES,28.04.2025 11:00 - 28.04.2025 11:15 (CET/CEST),368,0,0,2220,232,16,0,0,0,12,2852,1228,2620,0,3384,12,56,18816,164,0,2848
BZN|ES,28.04.2025 11:15 - 28.04.2025 11:30 (CET/CEST),364,0,0,2216,232,16,0,0,0,32,2912,1200,2548,0,3384,12,56,19640,164,0,2932
BZN|ES,28.04.2025 11:30 - 28.04.2025 11:45 (CET/CEST),336,0,0,2192,232,16,0,0,0,36,2996,1200,2520,0,3384,24,56,19684,160,0,2944
BZN|ES,28.04.2025 11:45 - 28.04.2025 12:00 (CET/CEST),344,0,0,2192,232,16,0,0,0,36,2980,1188,2364,0,3384,24,56,19696,156,0,2944
BZN|ES,28.04.2025 12:00 - 28.04.2025 12:15 (CET/CEST),344,0,0,2188,232,16,0,0,0,36,2996,1172,2312,0,3384,24,60,19060,160,0,2912
BZN|ES,28.04.2025 12:15 - 28.04.2025 12:30 (CET/CEST),356,0,0,2204,228,16,0,0,0,36,3032,1180,2220,0,3384,24,60,19104,160,0,3104
BZN|ES,28.04.2025 12:30 - 28.04.2025 12:45 (CET/CEST),356,0,0,2216,228,16,0,0,0,36,3048,1184,1952,0,3384,20,60,19340,160,0,3416
BZN|ES,28.04.2025 12:45 - 28.04.2025 13:00 (CET/CEST),188,0,0,1024,52,12,0,0,0,20,824,748,652,0,796,8,56,10560,100,0,2548
BZN|ES,28.04.2025 13:00 - 28.04.2025 13:15 (CET/CEST),112,0,0,512,0,12,0,0,0,0,128,512,100,0,0,4,52,6472,80,0,2408
BZN|ES,28.04.2025 13:15 - 28.04.2025 13:30 (CET/CEST),112,0,0,444,0,12,0,0,0,0,128,468,100,0,0,4,48,5728,72,0,2412
BZN|ES,28.04.2025 13:30 - 28.04.2025 13:45 (CET/CEST),108,0,0,420,0,12,0,0,0,0,128,460,84,0,0,4,44,5168,72,0,2348
BZN|ES,28.04.2025 13:45 - 28.04.2025 14:00 (CET/CEST),104,0,0,432,0,12,0,0,0,4,128,452,80,0,0,4,44,5036,72,0,2324
BZN|ES,28.04.2025 14:00 - 28.04.2025 14:15 (CET/CEST),104,0,0,428,0,12,0,0,0,4,128,448,72,0,0,4,44,4996,72,0,2268
BZN|ES,28.04.2025 14:15 - 28.04.2025 14:30 (CET/CEST),88,0,0,424,0,12,0,0,0,0,128,444,68,0,0,4,44,4936,72,0,2272
